start_time,end_time,o,h,l,c
2021-05-28 05:40:00,2021-05-28 09:40:00,37305.34,37382.68,35360.0,35862.59
2021-05-28 09:40:00,2021-05-28 13:40:00,35860.35,37279.98,35100.0,36920.02
2021-05-28 13:40:00,2021-05-28 17:40:00,36920.02,37160.0,35650.22,36029.14
2021-05-28 17:40:00,2021-05-28 21:40:00,36029.14,36570.0,34684.0,34974.77
2021-05-28 21:40:00,2021-05-29 01:40:00,34974.86,36500.0,34729.64,36350.0
2021-05-29 01:40:00,2021-05-29 05:40:00,36350.0,37338.58,35604.3,37062.32
2021-05-29 05:40:00,2021-05-29 09:40:00,37062.32,37086.1,34854.79,35310.0
2021-05-29 09:40:00,2021-05-29 13:40:00,35309.54,35850.0,34125.68,34357.22
2021-05-29 13:40:00,2021-05-29 17:40:00,34355.98,35300.0,33800.0,34283.24
2021-05-29 17:40:00,2021-05-29 21:40:00,34284.95,34494.93,33632.76,34414.84
2021-05-29 21:40:00,2021-05-30 01:40:00,34414.84,35100.0,33379.0,33812.01
2021-05-30 01:40:00,2021-05-30 05:40:00,33812.0,35409.18,33664.92,35208.32
2021-06-20 21:40:00,2021-06-21 01:40:00,35691.5,35790.0,35230.87,35286.33
2021-06-21 01:40:00,2021-06-21 05:40:00,35286.34,35464.84,33658.5,34180.96
2021-06-21 05:40:00,2021-06-21 09:40:00,34180.96,34600.0,32083.22,32922.62
2021-06-21 09:40:00,2021-06-21 13:40:00,32922.8,33393.4,31710.0,32513.99
2021-06-21 13:40:00,2021-06-21 17:40:00,32512.54,33222.22,32034.52,32423.51
2021-06-21 17:40:00,2021-06-21 21:40:00,32423.5,32948.31,31755.0,31925.32
2021-06-21 21:40:00,2021-06-22 01:40:00,31937.75,33021.14,31168.0,32500.91
2021-06-22 01:40:00,2021-06-22 05:40:00,32500.91,33260.0,32344.89,32528.0
2021-06-22 05:40:00,2021-06-22 09:40:00,32528.0,32900.0,31315.0,31492.04
2021-06-22 09:40:00,2021-06-22 13:40:00,31492.03,32222.22,29294.08,29511.66
2021-06-22 13:40:00,2021-06-22 17:40:00,29510.57,32818.55,28805.0,32364.61
2021-06-22 17:40:00,2021-06-22 21:40:00,32363.01,33298.78,32137.68,32429.58
2021-06-22 21:40:00,2021-06-23 01:40:00,32429.58,34444.0,31683.0,33787.97
2021-06-23 01:40:00,2021-06-23 05:40:00,33787.97,34288.0,33574.11,34151.79
2021-06-23 05:40:00,2021-06-23 09:40:00,34151.79,34392.1,33650.21,33935.72
2021-06-23 09:40:00,2021-06-23 13:40:00,33935.73,34881.0,33833.1,34172.18
2021-06-23 13:40:00,2021-06-23 17:40:00,34172.18,34248.71,33211.0,33559.85
2021-06-23 17:40:00,2021-06-23 21:40:00,33559.85,33785.26,32749.01,33244.33
2021-06-23 21:40:00,2021-06-24 01:40:00,33244.33,33879.99,32802.0,32828.0
2021-07-02 13:40:00,2021-07-02 17:40:00,33313.39,33795.16,33288.58,33535.87
2021-07-02 17:40:00,2021-07-02 21:40:00,33535.87,33578.3,33041.65,33437.06
2021-07-02 21:40:00,2021-07-03 01:40:00,33437.06,33914.6,33400.0,33684.7
2021-07-03 01:40:00,2021-07-03 05:40:00,33684.7,33760.0,33316.73,33732.01
2021-07-03 05:40:00,2021-07-03 09:40:00,33732.0,34780.0,33590.04,34581.61
2021-07-03 09:40:00,2021-07-03 13:40:00,34581.6,34816.5,34435.53,34582.75
2021-07-03 13:40:00,2021-07-03 17:40:00,34582.75,34760.0,34485.49,34698.4
2021-07-03 17:40:00,2021-07-03 21:40:00,34698.4,34945.61,34560.92,34770.48
2021-07-03 21:40:00,2021-07-04 01:40:00,34770.48,34914.76,34250.48,34489.77
